"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"JobRole3","129","3",15,1313,6.26199543031226,2.93707814458828,7,6.57659372026641,2.9652,1,9,8,-0.679455059691391,-0.915114485230748,0.081055621211272
"JobRole4","130","4",15,4237,6.03445834316734,3.00585551785439,8,6.15187260395164,2.9652,1,10,9,-0.257326826849181,-1.58938194468001,0.046178398751599
"JobRole5","131","5",15,1711,5.75160724722385,3.06588787594675,5,5.93864134404675,5.9304,1,10,9,-0.388925571787039,-1.26921622953862,0.074119292176539
"JobRole6","132","6",15,1074,5.23370577281192,1.62756424708856,4,5.09883720930233,0,1,10,9,0.547355725445046,-1.07742676160371,0.049663348767493
"JobRole7","133","7",15,1484,5.86522911051213,3.1749446687192,5,6.07575757575758,5.9304,1,10,9,-0.409738405338488,-1.3499952243607,0.082417457071139
"JobRole8","134","8",15,4202,6.05283198476916,3.05905811300995,8,6.19898869720405,2.9652,1,10,9,-0.31118416251444,-1.52730735734946,0.047191056828
"JobRole9","135","9",15,3971,6.21077814152606,2.94614031309936,8,6.37551148882594,2.9652,1,10,9,-0.394774547663561,-1.42090829395765,0.046752354058807
"JobSatisfaction1","136","1",16,4340,2.74976958525346,1.09706912962457,3,2.81221198156682,1.4826,1,4,3,-0.347911410557847,-1.20073941036272,0.01665287146172
"JobSatisfaction2","137","2",16,1200,2.67833333333333,1.12883085748467,3,2.72291666666667,1.4826,1,4,3,-0.267479508098092,-1.3183873848722,0.032586539971916
"JobSatisfaction3","138","3",16,1313,2.75323686214775,1.1349655977299,3,2.81636536631779,1.4826,1,4,3,-0.275652871526889,-1.35801646028836,0.031322061262458
"JobSatisfaction4","139","4",16,4237,2.73353788057588,1.10818956168156,3,2.79180182836921,1.4826,1,4,3,-0.336833729924269,-1.23178450372558,0.017024909935864
"JobSatisfaction5","140","5",16,1711,2.79018118059614,1.04955435929699,3,2.86267348429511,1.4826,1,4,3,-0.390007854711069,-1.05480511120253,0.025373473968898
"JobSatisfaction6","141","6",16,1074,2.71787709497207,1.04668150867073,3,2.77209302325581,1.4826,1,4,3,-0.290662985448982,-1.10953854911556,0.031938345233736
"JobSatisfaction7","142","7",16,1484,2.59029649595687,1.1736889271015,3,2.61279461279461,1.4826,1,4,3,-0.212138108074304,-1.44232312828103,0.030467446477825
"JobSatisfaction8","143","8",16,4202,2.74274155164207,1.10901862398127,3,2.80339083878644,1.4826,1,4,3,-0.344019741691751,-1.23078464486876,0.017108455927997
"JobSatisfaction9","144","9",16,3971,2.70586753966255,1.07671172213169,3,2.75731822474032,1.4826,1,4,3,-0.335250811401667,-1.14800414084737,0.017086357845398
