"","item","group1","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"YearsAtCompany2","254","2",29,1200,13.895,9.88671318393114,10,13.1572916666667,11.8608,0,36,36,0.441734200103958,-0.948478706832469,0.285404825907163
"YearsAtCompany3","255","3",29,1313,8.86443259710586,5.59819963725578,8,8.40342530922931,4.4478,0,33,33,1.14813463004472,2.59279508578524,0.154495565635042
"YearsAtCompany4","256","4",29,4237,5.23625206514043,3.84939909474846,4,4.79917428487172,2.9652,0,36,36,1.10514592137535,1.55071610291823,0.059137601689593
"YearsAtCompany5","257","5",29,1711,9.17592051431911,7.32543625530387,8,8.10518626734843,4.4478,0,37,37,1.50740125197002,2.44826974407415,0.177095892640828
"YearsAtCompany6","258","6",29,1074,14.0083798882682,9.77476659830113,14,13.503488372093,11.8608,0,34,34,0.223148597084864,-1.18977339934161,0.298266347126175
"YearsAtCompany7","259","7",29,1484,10.4905660377358,6.69461332380836,10,9.95538720538721,4.4478,0,40,40,1.18133801656757,2.55752307671474,0.173783502956426
"YearsAtCompany8","260","8",29,4202,5.27701094716801,4.12768012540766,5,4.77007733491969,4.4478,0,37,37,1.4948767798287,3.88331255865792,0.063676327866246
"YearsAtCompany9","261","9",29,3971,5.54872828003022,4.21862611721278,5,5.07837582625118,4.4478,0,33,33,1.38418648726567,3.51981970241828,0.066945454361668
"YearsInCurrentRole1","262","1",30,4340,3.49838709677419,3.23928512615465,2,3.10829493087558,2.9652,0,16,16,1.09641833487608,0.823889705895685,0.049170464628946
"YearsInCurrentRole2","263","2",30,1200,6.29166666666667,4.3670153317774,7,5.98020833333333,4.4478,0,17,17,0.404752015567103,-0.379764593538444,0.126064873867845
"YearsInCurrentRole3","264","3",30,1313,5.5003808073115,3.56775124416503,7,5.37202664129401,4.4478,0,15,15,0.1930820161834,-0.684227211592524,0.098460537713621
"YearsInCurrentRole4","265","4",30,4237,3.46896388954449,3.05424551464185,2,3.11736950751991,2.9652,0,15,15,1.0335073563605,0.48771283893501,0.046921805263977
"YearsInCurrentRole5","266","5",30,1711,5.36177673874927,3.58024634053262,6,5.21329437545654,2.9652,0,15,15,0.256573784916446,-0.441440889958475,0.086554151787425
"YearsInCurrentRole6","267","6",30,1074,6.5828677839851,5.11864133002574,6,6.12441860465116,5.9304,0,18,18,0.642916992158846,-0.533416194211242,0.156189760277365
"YearsInCurrentRole7","268","7",30,1484,6.58423180592992,3.83338697684796,7,6.55892255892256,2.9652,0,17,17,0.013368041973633,-0.057939876507656,0.099509767749396
"YearsInCurrentRole8","269","8",30,4202,3.31128034269395,3.05697875254166,2,2.9330755502677,2.9652,0,16,16,0.996332255138149,0.224844031354547,0.04715897923601
"YearsInCurrentRole9","270","9",30,3971,3.73608662805339,3.19316882581806,3,3.40006295247088,2.9652,0,16,16,1.05390971399056,0.966278902820031,0.050672454007169
"YearsSinceLastPromotion1","271","1",31,4340,1.49124423963134,2.19685014516051,1,0.985599078341014,1.4826,0,13,13,2.15608987527923,4.92489011473749,0.033346907774661
"YearsSinceLastPromotion2","272","2",31,1200,4.7275,5.06207443458882,2,4.07708333333333,2.9652,0,15,15,0.936126725171405,-0.578444580933337,0.146129501873389
"YearsSinceLastPromotion3","273","3",31,1313,3.04265041888804,3.66962768685999,1,2.37963843958135,1.4826,0,15,15,1.29006582010688,0.816695356397699,0.101272059213194
"YearsSinceLastPromotion4","274","4",31,4237,1.56525843757376,2.33366411600498,1,1.02565614862872,1.4826,0,15,15,2.29740095500561,6.12631936315084,0.035851647379944
"YearsSinceLastPromotion5","275","5",31,1711,3.11279953243717,4.14173097766721,1,2.23666910153397,1.4826,0,15,15,1.47749393127915,1.19378736452241,0.100128308950484
"YearsSinceLastPromotion6","276","6",31,1074,4.3147113594041,4.57429378336326,2,3.74883720930233,2.9652,0,15,15,0.847903918492668,-0.647755403283507,0.139579588292457
"YearsSinceLastPromotion7","277","7",31,1484,3.70485175202156,4.07355872582869,2,3.06481481481481,2.9652,0,15,15,1.08267288263661,0.185779081787786,0.105744315710607
"YearsSinceLastPromotion8","278","8",31,4202,1.60399809614469,2.4138107763807,1,1.058001189768,1.4826,0,12,12,1.76208193429403,2.21808426202172,0.03723704398938
"YearsSinceLastPromotion9","279","9",31,3971,1.59053135230421,2.48958556123544,1,0.988668555240793,1.4826,0,12,12,2.26813144106375,4.95666020446022,0.039507278421552
"YearsWithCurrManager1","280","1",32,4340,3.64423963133641,3.336498282043,2,3.27649769585254,2.9652,0,17,17,1.04249990816606,0.907583346231937,0.050646103807628
"YearsWithCurrManager2","281","2",32,1200,6.26666666666667,4.32621686340154,7,6.025,4.4478,0,17,17,0.33885653800959,-0.721912225117358,0.124887123532879
"YearsWithCurrManager3","282","3",32,1313,5.25057121096725,3.75046359650554,7,5.10371075166508,5.9304,0,13,13,0.101807610693317,-1.1788857253444,0.103502917416463
"YearsWithCurrManager4","283","4",32,4237,3.51758319565731,3.16622953291898,2,3.15098790917134,2.9652,0,15,15,1.04827088315696,0.534769587829403,0.048642194889856
"YearsWithCurrManager5","284","5",32,1711,5.02980713033314,3.86190570751976,4,4.73119065010957,4.4478,0,17,17,0.566297376262491,-0.265254551449229,0.093363400449049
"YearsWithCurrManager6","285","6",32,1074,6.4608938547486,4.59677523234702,7,6.21744186046512,5.9304,0,17,17,0.1961912665945,-0.772552964516933,0.140265585200828
"YearsWithCurrManager7","286","7",32,1484,5.72708894878706,3.64197369151614,7,5.6473063973064,2.9652,0,17,17,0.162594703073728,-0.222115571735839,0.094540926439464
"YearsWithCurrManager8","287","8",32,4202,3.30223702998572,2.97822610758446,2,3.00446162998215,2.9652,0,13,13,0.800925531416774,-0.209491382434695,0.04594408876769
"YearsWithCurrManager9","288","9",32,3971,3.51271719969781,3.1157399944801,2,3.19483789738747,2.9652,0,17,17,0.976946761388967,0.721145003094738,0.049443734478443
"Employee.Source1","289","1",33,4340,5.01129032258065,3.03252883040082,5,4.85685483870968,4.4478,1,11,10,0.389739807890881,-1.2303835830966,0.046032024284473
"Employee.Source2","290","2",33,1200,4.98416666666667,2.82469438834455,5,4.77916666666667,4.4478,1,10,9,0.500172053263943,-0.958393034847647,0.081541903274457
"Employee.Source3","291","3",33,1313,5.15841584158416,3.12579861806938,4,5.02378686964795,2.9652,1,10,9,0.446843412760133,-1.26700878003605,0.086263809233604
"Employee.Source4","292","4",33,4237,4.87632759027614,3.08026078913925,4,4.72073134768505,2.9652,1,10,9,0.505825357200214,-1.1083958076371,0.047321473083084
"Employee.Source5","293","5",33,1711,4.3635300993571,2.7854975594888,4,4.03652300949598,2.9652,1,10,9,0.821216120924867,-0.534145564117682,0.0673407234128
"Employee.Source6","294","6",33,1074,4.81378026070764,2.98063899341715,4,4.64651162790698,2.9652,1,10,9,0.377722493362643,-1.22173818978095,0.090950949644453
"Employee.Source7","295","7",33,1484,4.84703504043127,3.12886599211496,4,4.68434343434343,2.9652,1,10,9,0.50507051768516,-1.12656074902251,0.081221314225457
"Employee.Source8","296","8",33,4202,5.1001903855307,3.09566658319478,4,4.99226650803093,2.9652,1,10,9,0.371611138568774,-1.24992474321098,0.0477558033392
"Employee.Source9","297","9",33,3971,4.83656509695291,3.02295711345764,4,4.67075857727416,2.9652,1,10,9,0.500760527733777,-1.06131646110237,0.047971361256817
"cluster1","298","1",34,4340,1,0,1,1,0,1,1,0,NA,NA,0
"cluster2","299","2",34,1200,2,0,2,2,0,2,2,0,NA,NA,0
"cluster3","300","3",34,1313,3,0,3,3,0,3,3,0,NA,NA,0
"cluster4","301","4",34,4237,4,0,4,4,0,4,4,0,NA,NA,0
"cluster5","302","5",34,1711,5,0,5,5,0,5,5,0,NA,NA,0
"cluster6","303","6",34,1074,6,0,6,6,0,6,6,0,NA,NA,0
"cluster7","304","7",34,1484,7,0,7,7,0,7,7,0,NA,NA,0
"cluster8","305","8",34,4202,8,0,8,8,0,8,8,0,NA,NA,0
"cluster9","306","9",34,3971,9,0,9,9,0,9,9,0,NA,NA,0
